Species,Scientific.name,,Count,Area.ha,FRM.category
"Maple, field",Acer campestre,,,,
Sycamore,Acer pseudoplatanus,,,,
"Alder, common",Alnus glutinosa,,,,
"Barberry, common",Berberis vulgaris,,,,
"Birch, dwarf",Betula nana,,,,
"Birch, silver",Betula pendula,,,,
"Birch, downy",Betula pubescens,,,,
Hornbeam,Carpinus betulus,,,,
Sweet chestnut,Castanea sativa,,,,
Dogwood,Cornus sanguinea,,,,
Hazel,Corylus avellana,,,,
"Hawthorn, midland",Crataegus laevigata,,,,
Hawthorn,Crataegus monogyna,,,,
Spindle,Euonymus europaeus,,,,
Beech,Fagus sylvatica,,,,
Alder buckthorn,Frangula alnus,,,,
Ash,Fraxinus excelsior,,,,
Holly,Ilex aquifolium,,,,
Juniper,Juniperus communis,,,,
"Privet, wild",Ligustrum vulgare,,,,
"Apple, wild",Malus sylvestris,,,,
"Pine, Scots",Pinus sylvestris,Seed stand,76,13947.96,Source identified
"Pine, Scots",Pinus sylvestris,Seed stand,22,542.57,Selected
"Pine, Scots",Pinus sylvestris,Seed orchard,0,0,Qualified
"Pine, Scots",Pinus sylvestris,Seed orchard,5,21.22,Tested
"Poplar, black",Populus nigra subsp. betulifolia,,,,
Aspen,Populus tremula,,,,
"Cherry, wild",Prunus avium,,,,
Blackthorn,Prunus spinosa,,,,
"Pear, wild",Pyrus communis sens. Lat.,,,,
"Oak, sessile",Quercus petraea,Seed stand,51,"1,421.94",Source identified
"Oak, sessile",Quercus petraea,Seed stand,20,321.92,Selected
"Oak, pedunculate",Quercus robur,,,,
"Buckthorn, purging",Rhamnus cathartica,,,,
"Willow, white",Salix alba,,,,
"Willow, eared",Salix aurita,,,,
"Willow, grey",Salix cinerea,,,,
"Willow, crack",Salix fragilis,,,,
"Willow, dark-leaved",Salix myrsinifolia,,,,
"Willow, bay",Salix pentandra,,,,
"Willow, tea-leaved",Salix phylicifolia,,,,
"Willow, purple",Salix purpurea,,,,
"Willow, osier",Salix viminalis,,,,
"Willow, goat",Saliz caprea,,,,
Elder,Sambucus nigra,,,,
"Whitebeam, common",Sorbus aria sens. str.,,,,
Rowan,Sorbus aucuparia,,,,
Wild service,Sorbus torminalis,,,,
Yew,Taxus baccata,,,,
"Lime, small-leaved",Tilia cordata,,,,
"Lime, large-leaved",Tilia platyphyllos,,,,
"Elm, wych",Ulmus glabra,,,,
Wayfaring tree,Viburnum lantana,,,,
Guelder rose,Viburnum opulus,,,,
