Species,Scientific.name,Provenance.trials,Traits.studied,Genomic.characterisation,Understanding.of.diversity,In-situ.conservation.GCU,Ex-situ.conservation.seed.bank,Ex-situ.conservation.clone.bank
"Maple, field",Acer campestre,,,,Insufficient,,Yes,
Sycamore,Acer pseudoplatanus,Yes,Form,,Insufficient,,,Yes
Sycamore,Acer pseudoplatanus,Yes,Budburst,,Insufficient,,,Yes
"Alder, common",Alnus glutinosa,,,Yes,Insufficient,,Yes,
"Barberry, common",Berberis vulgaris,,,,Insufficient,,,
"Birch, dwarf",Betula nana,,,Yes,Insufficient,,Yes,
"Birch, silver",Betula pendula,Yes,Phenology,Yes,High,Yes,Yes,Yes
"Birch, silver",Betula pendula,Yes,Form,,High,Yes,Yes,Yes
"Birch, silver",Betula pendula,Yes,Leaf morphology,,High,Yes,Yes,Yes
"Birch, silver",Betula pendula,Yes,Disease response,,High,Yes,Yes,Yes
"Birch, downy",Betula pubescens,,,,Insufficient,,Yes,
Hornbeam,Carpinus betulus,,,,Insufficient,,Yes,
Sweet chestnut,Castanea sativa,,,Yes,Insufficient,,,Yes
Dogwood,Cornus sanguinea,,,,Insufficient,,Yes,
Hazel,Corylus avellana,,,Yes,Insufficient,,Yes,
"Hawthorn, midland",Crataegus laevigata,,,,Insufficient,,Yes,
Hawthorn,Crataegus monogyna,Yes,Disease resistance,Yes,Insufficient,,Yes,
Hawthorn,Crataegus monogyna,Yes,Branching,,Insufficient,,Yes,
Hawthorn,Crataegus monogyna,Yes,Thorns,,Insufficient,,Yes,
Spindle,Euonymus europaeus,,,,Insufficient,,Yes,
Beech,Fagus sylvatica,Yes,Form,Yes,Insufficient,,Yes,
Beech,Fagus sylvatica,Yes,Carbon isotope ratio,,Insufficient,,Yes,
Beech,Fagus sylvatica,Yes,Dendrochronology,,Insufficient,,Yes,
Alder buckthorn,Frangula alnus,,,,Insufficient,,,
Ash,Fraxinus excelsior,Yes,Form,Yes,High,Yes,Yes,Yes
Ash,Fraxinus excelsior,Yes,Phenology,,High,Yes,Yes,
Ash,Fraxinus excelsior,Yes,Disease resistance,,High,Yes,Yes,
Holly,Ilex aquifolium,,,Yes,Insufficient,,Yes,
Juniper,Juniperus communis,Yes,Form,Yes,Insufficient,,Yes,
"Privet, wild",Ligustrum vulgare,,,,Insufficient,,Yes,
"Apple, wild",Malus sylvestris,,,Yes,Insufficient,Yes,Yes,
"Pine, Scots",Pinus sylvestris,Yes,Form,Yes,High,Yes,Yes,
"Pine, Scots",Pinus sylvestris,Yes,Seedling morphology,,High,Yes,,
"Pine, Scots",Pinus sylvestris,Yes,Root condition,,High,Yes,,
"Pine, Scots",Pinus sylvestris,Yes,Root frost hardiness,,High,Yes,,
"Pine, Scots",Pinus sylvestris,Yes,Bud dry matter,,High,Yes,,
